op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.450751364653115e-07, 3.3707297575347184e-07, 3.3644695918155776e-07, 3.344216565892566e-07, 3.344106289659976e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[7.721208135080815e-07, 7.667890713491943e-07, 7.53373853967787e-07, 7.51264167320187e-07, 7.466920237675367e-07]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.12582272954387e-07, 3.0356810043485893e-07, 3.014937419720809e-07, 2.989861513924552e-07, 2.9837894999218406e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.007266133092343807, 0.0030498632695525885, 0.002957759890705347, 0.00294234836474061, 0.0016993521712720394]"
