,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,2.3253299730185972e-07,"[1.5483656170545146e-06, 1.5483620927625452e-06, 1.5483193465115619e-06, 1.548313207422325e-06, 1.5483093420698424e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,5.046835127586746e-08,"[3.5580853818828473e-07, 3.558079413323867e-07, 3.5580791291067726e-07, 3.5134507925249636e-07, 3.5134507925249636e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,1.0884259893373383e-07,"[3.5762786865234375e-07, 3.5762786865234375e-07, 3.5762778338721546e-07, 3.576276128569589e-07, 3.576276128569589e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,3.689815741836355e-08,"[2.3838947527110577e-07, 2.3827308837098826e-07, 2.3549972638647887e-07, 2.3549969796476944e-07, 2.3549966954306e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
