,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,1.0944147561531281e-06,"[4.547823664324824e-06, 4.54189148513251e-06, 4.530872956820531e-06, 4.484161308937473e-06, 4.4781882024835795e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.10727646201848984
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,39071812419584.0,"[3911065939214336.0, 3910990777286656.0, 3910915615358976.0, 3910726905233408.0, 3910689592705024.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.7577467560768127
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,8.469902240904048e-06,"[8.13787555671297e-05, 8.125823660520837e-05, 8.124898886308074e-05, 8.124786108965054e-05, 8.124605665216222e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.6819726824760437
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,0.01358677726238966,"[0.3018290102481842, 0.3018290102481842, 0.30182772874832153, 0.30182528495788574, 0.30182287096977234]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.9261006116867065
