op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3911065939214336.0, 3910990777286656.0, 3910915615358976.0, 3910726905233408.0, 3910689592705024.0]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[4.547823664324824e-06, 4.54189148513251e-06, 4.530872956820531e-06, 4.484161308937473e-06, 4.4781882024835795e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.3018290102481842, 0.3018290102481842, 0.30182772874832153, 0.30182528495788574, 0.30182287096977234]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.13787555671297e-05, 8.125823660520837e-05, 8.124898886308074e-05, 8.124786108965054e-05, 8.124605665216222e-05]"
