op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[7.513228297284513e-07, 7.512142019550083e-07, 7.50513947878062e-07, 7.497092155972496e-07, 7.492146210097417e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[4.434244601725368e-06, 4.370603619463509e-06, 4.368031568446895e-06, 4.321846063248813e-06, 4.295677172194701e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.6790665035368875e-05, 3.6790665035368875e-05, 3.679007204482332e-05, 3.679007204482332e-05, 3.67900611308869e-05]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.138000703183934e-05, 8.137991972034797e-05, 8.137981785694137e-05, 8.137955592246726e-05, 8.137909026117995e-05]"
