op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[17836882.0, 6268641.0, 4101685.25, 2825696.75, 1373711.375]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.23639461398124695, 0.2360990047454834, 0.23563383519649506, 0.23537443578243256, 0.23439142107963562]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[17357352.0, 6104479.0, 4035130.5, 2886669.75, 1348001.375]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[16498448.0, 5810973.5, 3919088.25, 2984444.5, 1302898.5]"
