,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,0.06665923446416855,"[0.23639461398124695, 0.2360990047454834, 0.23563383519649506, 0.23537443578243256, 0.23439142107963562]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.9999744892120361
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,12.154083251953125,"[17836882.0, 6268641.0, 4101685.25, 2825696.75, 1373711.375]","[2.4183516416087514e-06, 1.6357890899598715e-06, 1.5010396055004094e-06, 1.314411065322929e-06, 5.95160770444636e-07]",0.9999988079071045
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,11.872977256774902,"[16498448.0, 5810973.5, 3919088.25, 2984444.5, 1302898.5]","[2.854398189811036e-06, 1.8417497358313994e-06, 1.2242936691109207e-06, 8.959569299804571e-07, 4.0076082541418145e-07]",0.9999992251396179
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,12.057489395141602,"[17357352.0, 6104479.0, 4035130.5, 2886669.75, 1348001.375]","[2.466375462972792e-06, 1.7636689335631672e-06, 1.2768666692863917e-06, 1.2556999990920303e-06, 6.109108880991698e-07]",0.9999988079071045
