op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.4183516416087514e-06, 1.6357890899598715e-06, 1.5010396055004094e-06, 1.314411065322929e-06, 5.95160770444636e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.466375462972792e-06, 1.7636689335631672e-06, 1.2768666692863917e-06, 1.2556999990920303e-06, 6.109108880991698e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.854398189811036e-06, 1.8417497358313994e-06, 1.2242936691109207e-06, 8.959569299804571e-07, 4.0076082541418145e-07]"
