,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,2.1534111738219508e-07,"[1.417799808223208e-06, 1.4177239791024476e-06, 1.4176398508425336e-06, 1.4174813713907497e-06, 1.4174595435179072e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,5.021373894464887e-08,"[3.542677688983531e-07, 3.5401785680733155e-07, 3.5324671898706583e-07, 3.5216189075981674e-07, 3.51286217892266e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,1.1117023859696928e-05,"[3.335469227749854e-05, 3.3354688639519736e-05, 3.335467408760451e-05, 3.33546704496257e-05, 3.3354666811646894e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.6904929876327515
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,3.918651003687046e-08,"[2.3794689241185552e-07, 2.3794680714672722e-07, 2.379467787250178e-07, 2.378883579012836e-07, 2.371166800685387e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
