op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.542677688983531e-07, 3.5401785680733155e-07, 3.5324671898706583e-07, 3.5216189075981674e-07, 3.51286217892266e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.417799808223208e-06, 1.4177239791024476e-06, 1.4176398508425336e-06, 1.4174813713907497e-06, 1.4174595435179072e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3794689241185552e-07, 2.3794680714672722e-07, 2.379467787250178e-07, 2.378883579012836e-07, 2.371166800685387e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.335469227749854e-05, 3.3354688639519736e-05, 3.335467408760451e-05, 3.33546704496257e-05, 3.3354666811646894e-05]"
