,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,1.0817226439030492e-06,"[4.434244601725368e-06, 4.370603619463509e-06, 4.368031568446895e-06, 4.321846063248813e-06, 4.295677172194701e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.09567901492118835
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,5.38074722555848e-08,"[7.513228297284513e-07, 7.512142019550083e-07, 7.50513947878062e-07, 7.497092155972496e-07, 7.492146210097417e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,1.3375277376326267e-05,"[8.138000703183934e-05, 8.137991972034797e-05, 8.137981785694137e-05, 8.137955592246726e-05, 8.137909026117995e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.8590725660324097
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,4.96263601235114e-06,"[3.6790665035368875e-05, 3.6790665035368875e-05, 3.679007204482332e-05, 3.679007204482332e-05, 3.67900611308869e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.44353562593460083
