op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1459112.125, 754432.375, 609957.3125, 516111.5625, 459170.40625]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0021494643297046423, 0.002139674499630928, 0.0021374868229031563, 0.0021270064171403646, 0.0021214268635958433]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1458844.375, 754527.375, 610119.1875, 515965.375, 459254.4375]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1458306.25, 754735.75, 610400.5625, 515706.15625, 459410.5625]"
