op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2374889593047556e-06, 1.1187742074980633e-06, 4.403838431699114e-07, 4.1981749632213905e-07, 2.460665484704805e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2911534668091917e-06, 1.1690339078995748e-06, 4.1971335917878605e-07, 3.6689976923298673e-07, 2.45997114234342e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.6988107038050657e-06, 2.5405745418538572e-06, 1.2968901046406245e-06, 1.1030040241166716e-06, 7.132300083867449e-07]"
