,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,0.000665384519379586,"[0.0021494643297046423, 0.002139674499630928, 0.0021374868229031563, 0.0021270064171403646, 0.0021214268635958433]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.9975358843803406
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,7.446374893188477,"[1459112.125, 754432.375, 609957.3125, 516111.5625, 459170.40625]","[1.2374889593047556e-06, 1.1187742074980633e-06, 4.403838431699114e-07, 4.1981749632213905e-07, 2.460665484704805e-07]",0.9999984502792358
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,7.446150302886963,"[1458306.25, 754735.75, 610400.5625, 515706.15625, 459410.5625]","[2.6988107038050657e-06, 2.5405745418538572e-06, 1.2968901046406245e-06, 1.1030040241166716e-06, 7.132300083867449e-07]",0.9999995231628418
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,7.446296215057373,"[1458844.375, 754527.375, 610119.1875, 515965.375, 459254.4375]","[1.2911534668091917e-06, 1.1690339078995748e-06, 4.1971335917878605e-07, 3.6689976923298673e-07, 2.45997114234342e-07]",0.9999986290931702
