op,gpu,tpu
GeLU,0.0,2.9008345947545422e-08
exp,0.0,1.4208904985935078e-06
sigmoid,0.0,3.5569560168369208e-06
softmax,0.0,1.0077616252601729e-06
swish,0.0,4.432910372997867e-06
tanh,0.0,1.1941849152208306e-05
