op,gpu,tpu
GeLU,0.0,2.947265009822786e-08
sigmoid,0.0,3.577448978830944e-06
softmax,0.0,1.0108982451129123e-06
swish,0.0,4.455898306332529e-06
tanh,0.0,1.1970349987677764e-05
