op,gpu,tpu
GeLU,0.0,2.900835305297278e-08
exp,0.0,1.4208914080882096e-06
sigmoid,0.0,3.556944875526824e-06
softmax,0.0,1.0077613978864974e-06
swish,0.0,4.432895366335288e-06
tanh,0.0,1.1941797311010305e-05
