op,gpu,tpu
GeLU,0.0,1.076169731106802e-08
sigmoid,0.0,2.205724740633741e-06
softmax,0.0,3.9365684045833405e-09
swish,0.0,1.4603929230361246e-06
tanh,0.0,5.1802362577291206e-06
