,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,1.126145662055933e-06,"[4.983141479897313e-06, 4.917160367767792e-06, 4.860070475842804e-06, 4.832775630347896e-06, 4.83121812067111e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.11444839835166931
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,19582748196864.0,"[3911141369577472.0, 3911103251742720.0, 3911103251742720.0, 3910953196322816.0, 3910840184995840.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.3786084055900574
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,8.46720013214508e-06,"[8.133303344948217e-05, 8.132835500873625e-05, 8.132671064231545e-05, 8.12595899333246e-05, 8.124949090415612e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.6817455887794495
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,0.00680364016443491,"[0.3277750611305237, 0.30182528495788574, 0.3013096749782562, 0.30130118131637573, 0.301292359828949]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.8462470769882202
