op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3911141369577472.0, 3911103251742720.0, 3911103251742720.0, 3910953196322816.0, 3910840184995840.0]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[4.983141479897313e-06, 4.917160367767792e-06, 4.860070475842804e-06, 4.832775630347896e-06, 4.83121812067111e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.3277750611305237, 0.30182528495788574, 0.3013096749782562, 0.30130118131637573, 0.301292359828949]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.133303344948217e-05, 8.132835500873625e-05, 8.132671064231545e-05, 8.12595899333246e-05, 8.124949090415612e-05]"
