op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.2115975752967643e-06, 1.8575776721263537e-06, 4.481681799006765e-07, 3.991253549884277e-07, 1.0848997789025816e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.472811153595103e-06, 4.252825874573318e-06, 2.801984919642564e-06, 2.702885012695333e-06, 2.6983150291925995e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[6.423229592655844e-07, 4.4842931856692303e-07, 3.99432963149593e-07, 1.1186456561063096e-07, 1.0982768827716427e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
