op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2990076480236253e+23, 1.2955097922650392e+23, 1.2934998357513437e+23, 1.2884569751045919e+23, 1.2865350189276152e+23]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[837931008.0, 815426624.0, 812661632.0, 791569664.0, 742504448.0]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1899580.0, 719907.25, 652325.875, 496501.21875, 331316.3125]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1294439.5, 661588.0625, 153873.34375, 116387.8984375, 92144.265625]"
