,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,1213832.125,"[837931008.0, 815426624.0, 812661632.0, 791569664.0, 742504448.0]","[5.472811153595103e-06, 4.252825874573318e-06, 2.801984919642564e-06, 2.702885012695333e-06, 2.6983150291925995e-06]",0.9999997019767761
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,1.6542764647964266e+20,"[1.2990076480236253e+23, 1.2955097922650392e+23, 1.2934998357513437e+23, 1.2884569751045919e+23, 1.2865350189276152e+23]","[2.2115975752967643e-06, 1.8575776721263537e-06, 4.481681799006765e-07, 3.991253549884277e-07, 1.0848997789025816e-07]",0.3542739748954773
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,2.336702823638916,"[1294439.5, 661588.0625, 153873.34375, 116387.8984375, 92144.265625]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.4577084481716156
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,317.974853515625,"[1899580.0, 719907.25, 652325.875, 496501.21875, 331316.3125]","[6.423229592655844e-07, 4.4842931856692303e-07, 3.99432963149593e-07, 1.1186456561063096e-07, 1.0982768827716427e-07]",0.36056533455848694
