,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,1.34601691570424e-07,"[8.019774213607889e-07, 7.994173074621358e-07, 7.670671493542613e-07, 7.60641796659911e-07, 7.606175813634763e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,0.4993799328804016,"[6.731936454772949, 6.73180627822876, 6.73180627822876, 6.731742858886719, 6.731378078460693]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.7453266978263855
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,1.1427252388784837e-07,"[0.2935836911201477, 0.03809276595711708, 0.006269150413572788, 0.004892345517873764, 0.004239222966134548]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0008200073498301208
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,1.36296478103759e-07,"[7.08019001649518e-07, 7.08019001649518e-07, 7.08019001649518e-07, 7.012383775872877e-07, 7.010554554653936e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
