op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[6.731936454772949, 6.73180627822876, 6.73180627822876, 6.731742858886719, 6.731378078460693]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.019774213607889e-07, 7.994173074621358e-07, 7.670671493542613e-07, 7.60641796659911e-07, 7.606175813634763e-07]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[7.08019001649518e-07, 7.08019001649518e-07, 7.08019001649518e-07, 7.012383775872877e-07, 7.010554554653936e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.2935836911201477, 0.03809276595711708, 0.006269150413572788, 0.004892345517873764, 0.004239222966134548]"
