,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,0.006653300020843744,"[0.021532226353883743, 0.02143343910574913, 0.02138786017894745, 0.02136520855128765, 0.021361110731959343]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.9997474551200867
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,12.495800971984863,"[16113526.0, 5498410.5, 5018625.5, 1484271.5, 1476941.375]","[5.161963372302125e-07, 4.884166742158413e-07, 2.974972801439435e-07, 1.328270542444443e-07, 0.0]",0.9999983310699463
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,12.511387825012207,"[16234602.0, 5507078.0, 4992063.5, 1487486.125, 1466768.375]","[1.4024660686118295e-06, 1.0717028544604545e-06, 9.858685245944798e-08, 6.029773658156046e-08, 0.0]",0.999998927116394
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,12.501686096191406,"[16158899.0, 5501608.5, 5008741.5, 1485465.875, 1473158.25]","[5.933095508225961e-07, 5.111307359584316e-07, 4.897868848274811e-07, 3.327549791265483e-07, 7.207292185285041e-08]",0.9999983310699463
