op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[16113526.0, 5498410.5, 5018625.5, 1484271.5, 1476941.375]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.021532226353883743, 0.02143343910574913, 0.02138786017894745, 0.02136520855128765, 0.021361110731959343]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[16158899.0, 5501608.5, 5008741.5, 1485465.875, 1473158.25]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[16234602.0, 5507078.0, 4992063.5, 1487486.125, 1466768.375]"
