op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.161963372302125e-07, 4.884166742158413e-07, 2.974972801439435e-07, 1.328270542444443e-07, 0.0]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.933095508225961e-07, 5.111307359584316e-07, 4.897868848274811e-07, 3.327549791265483e-07, 7.207292185285041e-08]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.4024660686118295e-06, 1.0717028544604545e-06, 9.858685245944798e-08, 6.029773658156046e-08, 0.0]"
