op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[7066570.5, 4511613.5, 4283245.5, 1579967.375, 1470762.625]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[7.416206359863281, 7.292105674743652, 7.234351634979248, 7.212420463562012, 7.193789005279541]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[9835522.0, 5771581.5, 3949052.25, 1423008.75, 1375762.25]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[12883617.0, 7446657.0, 2370835.5, 1355281.375, 1317774.875]"
