,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,m1,0.8120113611221313,"[7.416206359863281, 7.292105674743652, 7.234351634979248, 7.212420463562012, 7.193789005279541]","[4.968489974999102e-07, 3.5370777595744585e-07, 2.782027195280534e-07, 1.912099776291143e-07, 1.1033206703814358e-07]",0.9999957084655762
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,m1,11.060362815856934,"[7066570.5, 4511613.5, 4283245.5, 1579967.375, 1470762.625]","[8.768446235762895e-08, 8.767722192715155e-08, 8.766874515231393e-08, 0.0, 0.0]",0.9983580112457275
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,m1,10.920209884643555,"[12883617.0, 7446657.0, 2370835.5, 1355281.375, 1317774.875]","[1.184384473162936e-06, 8.775273272476625e-07, 8.533668278687401e-07, 6.61215665331838e-07, 2.646773396008939e-07]",0.8200825452804565
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,m1,11.510323524475098,"[9835522.0, 5771581.5, 3949052.25, 1423008.75, 1375762.25]","[1.4375464161275886e-06, 1.3254348232294433e-06, 4.652720804187993e-07, 4.354895111191581e-07, 4.181991357654624e-07]",0.9999975562095642
