op,gpu,m1
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.768446235762895e-08, 8.767722192715155e-08, 8.766874515231393e-08, 0.0, 0.0]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[4.968489974999102e-07, 3.5370777595744585e-07, 2.782027195280534e-07, 1.912099776291143e-07, 1.1033206703814358e-07]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.4375464161275886e-06, 1.3254348232294433e-06, 4.652720804187993e-07, 4.354895111191581e-07, 4.181991357654624e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.184384473162936e-06, 8.775273272476625e-07, 8.533668278687401e-07, 6.61215665331838e-07, 2.646773396008939e-07]"
