,op,device,ratio_mean,ratio_top5,ratio_bottom5,prob
0,softmax,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1,softmax,tpu,1.0947628652502317e-06,"[4.814524345420068e-06, 4.705742867372464e-06, 4.670674570661504e-06, 4.573009846353671e-06, 4.547222033579601e-06]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.10704559087753296
2,GeLU,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
3,GeLU,tpu,2.2194162951905128e-08,"[3.450751364653115e-07, 3.418478229377797e-07, 3.4123996783819166e-07, 3.3707297575347184e-07, 3.3644695918155776e-07]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
4,tanh,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5,tanh,tpu,8.471230103168637e-06,"[8.136945689329877e-05, 8.132122457027435e-05, 8.129314664984122e-05, 8.129052730510011e-05, 8.128592162393034e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.6820036172866821
6,swish,gpu,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0
7,swish,tpu,5.5226832955668215e-06,"[2.3941109247971326e-05, 2.394102921243757e-05, 2.383817991358228e-05, 2.383816354267765e-05, 2.3838121705921367e-05]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.7666284441947937
