op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.542676836332248e-07, 3.4983639807251166e-07, 3.489216453544941e-07, 3.482879264993244e-07, 3.479603947198484e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.604590801842278e-06, 3.6005835681862663e-06, 3.5734992707148194e-06, 3.5733803542825626e-06, 3.547096412148676e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.4545782960340148e-06, 1.4539004951075185e-06, 1.4535839909513015e-06, 1.4231939076125855e-06, 1.4231821978683001e-06]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[8.138040720950812e-05, 8.13802907941863e-05, 8.138021075865254e-05, 8.138010889524594e-05, 8.138007979141548e-05]"
