op,gpu,tpu
GeLU,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.5580853818828473e-07, 3.558079413323867e-07, 3.5580791291067726e-07, 3.5134507925249636e-07, 3.5134507925249636e-07]"
softmax,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.5483656170545146e-06, 1.5483620927625452e-06, 1.5483193465115619e-06, 1.548313207422325e-06, 1.5483093420698424e-06]"
swish,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3838947527110577e-07, 2.3827308837098826e-07, 2.3549972638647887e-07, 2.3549969796476944e-07, 2.3549966954306e-07]"
tanh,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.5762786865234375e-07, 3.5762786865234375e-07, 3.5762778338721546e-07, 3.576276128569589e-07, 3.576276128569589e-07]"
